@RELATION weekly

@ATTRIBUTE weekly_symbol string
@ATTRIBUTE stock_open real
@ATTRIBUTE high real
@ATTRIBUTE low real
@ATTRIBUTE stock_close real
@ATTRIBUTE adjusted_close real
@ATTRIBUTE volume real
@ATTRIBUTE dividend_amount real
@ATTRIBUTE cobdate_partition DATE "yyyy-MM-dd"

@DATA
JPM,34.59,36.3,34.5,36.06,23.7655,54709900,0.0,"2005-05-20"
JPM,35.92,36.09,35.66,35.8,23.5941,31180300,0.0,"2005-05-27"
JPM,35.83,36.5,35.01,35.55,23.4294,43999400,0.0,"2005-06-03"
JPM,35.47,35.94,35.2,35.43,23.3503,35828500,0.0,"2005-06-10"
JPM,35.29,36.2,35.27,36.08,23.7787,47368000,0.0,"2005-06-17"
JPM,35.9,36.43,35.4,35.57,23.4425,46324200,0.0,"2005-06-24"
JPM,35.58,36.1,35.01,35.06,23.3305,42134200,0.34,"2005-07-01"
JPM,35.0,35.28,34.3,34.81,23.1641,38894600,0.0,"2005-07-08"
JPM,34.81,35.95,34.75,35.86,23.8629,50430900,0.0,"2005-07-15"
JPM,35.67,35.71,34.84,35.6,23.6898,50567200,0.0,"2005-07-22"
JPM,35.55,35.65,35.07,35.14,23.3837,36880800,0.0,"2005-07-29"
JPM,35.32,35.65,35.15,35.25,23.4569,42551500,0.0,"2005-08-05"
JPM,35.31,35.43,34.29,34.31,22.8314,39690200,0.0,"2005-08-12"
JPM,34.27,34.99,34.25,34.54,22.9845,40113900,0.0,"2005-08-19"
JPM,34.59,34.78,33.63,33.65,22.3922,44649500,0.0,"2005-08-26"
JPM,33.43,34.42,33.31,34.11,22.6983,43336700,0.0,"2005-09-02"
JPM,34.25,34.94,34.25,34.82,23.1708,35769500,0.0,"2005-09-09"
